number of episodes,average reward/episode
0.908,-6.451045105
0.909,-6.451648352
0.91,-6.447859495
0.911,-6.456140351
0.912,-6.47645126
0.913,-6.450765864
0.914,-6.45136612
0.915,-6.443231441
0.916,-6.46346783
0.917,-6.460784314
0.918,-6.457018498
0.919,-6.461956522
0.92,-6.467969598
0.921,-6.457700651
0.922,-6.477789816
0.923,-6.485930736
0.924,-6.486486486
0.925,-6.455723542
0.926,-6.475728155
0.927,-6.462284483
0.928,-6.460710441
0.929,-6.452688172
0.93,-6.443609023
0.931,-6.443133047
0.932,-6.410503751
0.933,-6.413276231
0.934,-6.405347594
0.935,-6.408119658
0.936,-6.42796158
0.937,-6.400852878
0.938,-6.411075612
0.939,-6.414893617
0.94,-6.418703507
0.941,-6.438428875
0.942,-6.458112407
0.943,-6.454449153
0.944,-6.474074074
0.945,-6.472515856
0.946,-6.472016895
0.947,-6.469409283
0.948,-6.464699684
0.949,-6.436842105
0.95,-6.407991588
0.951,-6.406512605
0.952,-6.376705142
0.953,-6.368972746
0.954,-6.366492147
0.955,-6.359832636
0.956,-6.350052247
0.957,-6.3434238
0.958,-6.32012513
0.959,-6.339583333
0.96,-6.314255983
0.961,-6.324324324
0.962,-6.319833853
0.963,-6.32780083
0.964,-6.347150259
0.965,-6.35610766
0.966,-6.357807653
0.967,-6.377066116
0.968,-6.385964912
0.969,-6.380412371
0.97,-6.399588054
0.971,-6.400205761
0.972,-6.419321686
0.973,-6.431211499
0.974,-6.426666667
0.975,-6.431352459
0.976,-6.432958035
0.977,-6.427402863
0.978,-6.429009193
0.979,-6.447959184
0.98,-6.44138634
0.981,-6.440936864
0.982,-6.458799593
0.983,-6.449186992
0.984,-6.446700508
0.985,-6.45841785
0.986,-6.453900709
0.987,-6.472672065
0.988,-6.476238625
0.989,-6.477777778
0.99,-6.478304743
0.991,-6.484879032
0.992,-6.47734139
0.993,-6.495975855
0.994,-6.494472362
0.995,-6.485943775
0.996,-6.49448345
0.997,-6.490981964
0.998,-6.496496496
0.999,-6.498
1,-6.494505495
1.001,-6.49001996
1.002,-6.461615155
1.003,-6.451195219
1.004,-6.469651741
1.005,-6.448310139
1.006,-6.439920556
1.007,-6.436507937
1.008,-6.445986125
1.009,-6.455445545
1.01,-6.454005935
1.011,-6.436758893
1.012,-6.42053307
1.013,-6.420118343
1.014,-6.416748768
1.015,-6.426181102
1.016,-6.429695182
1.017,-6.433202358
1.018,-6.412168793
1.019,-6.402941176
1.02,-6.379040157
1.021,-6.380626223
1.022,-6.38514174
1.023,-6.388671875
1.024,-6.381463415
1.025,-6.356725146
1.026,-6.35443038
1.027,-6.364785992
1.028,-6.361516035
1.029,-6.33592233
1.03,-6.334626576
1.031,-6.331395349
1.032,-6.330106486
1.033,-6.320116054
1.034,-6.338164251
1.035,-6.328185328
1.036,-6.322082932
1.037,-6.338150289
1.038,-6.346487007
1.039,-6.35
1.04,-6.352545629
1.041,-6.348368522
1.042,-6.351869607
1.043,-6.329501916
1.044,-6.320574163
1.045,-6.316443595
1.046,-6.29608405
1.047,-6.29389313
1.048,-6.291706387
1.049,-6.30952381
1.05,-6.31018078
1.051,-6.30513308
1.052,-6.298195632
1.053,-6.288425047
1.054,-6.295734597
1.055,-6.301136364
1.056,-6.303689688
1.057,-6.310018904
1.058,-6.327667611
1.059,-6.324528302
1.06,-6.319509896
1.061,-6.337099812
1.062,-6.344308561
1.063,-6.339285714
1.064,-6.338028169
1.065,-6.355534709
1.066,-6.34864105
1.067,-6.331460674
1.068,-6.325537886
1.069,-6.31588785
1.07,-6.31092437
1.071,-6.304104478
1.072,-6.321528425
1.073,-6.314711359
1.074,-6.31627907
1.075,-6.289962825
1.076,-6.281337047
1.077,-6.283858998
1.078,-6.27618165
1.079,-6.284259259
1.08,-6.259944496
1.081,-6.277264325
1.082,-6.28531856
1.083,-6.292435424
1.084,-6.268202765
1.085,-6.26611418
1.086,-6.262189512
1.087,-6.258272059
1.088,-6.259871442
1.089,-6.26146789
1.09,-6.260311641
1.091,-6.255494505
1.092,-6.233302836
1.093,-6.225776965
1.094,-6.237442922
1.095,-6.234489051
1.096,-6.235186873
1.097,-6.234061931
1.098,-6.226569609
1.099,-6.223636364
1.1,-6.237057221
1.101,-6.254083485
1.102,-6.245693563
1.103,-6.244565217
1.104,-6.241628959
1.105,-6.238698011
1.106,-6.232158988
1.107,-6.235559567
1.108,-6.252479711
1.109,-6.256756757
1.11,-6.252025203
1.111,-6.246402878
1.112,-6.237196765
1.113,-6.229802513
1.114,-6.216143498
1.115,-6.19265233
1.116,-6.196956132
1.117,-6.189624329
1.118,-6.18051832
1.119,-6.159821429
1.12,-6.154326494
1.121,-6.13368984
1.122,-6.135351736
1.123,-6.120106762
1.124,-6.130666667
1.125,-6.131438721
1.126,-6.12866016
1.127,-6.108156028
1.128,-6.112488928
1.129,-6.115044248
1.13,-6.114942529
1.131,-6.110424028
1.132,-6.127096205
1.133,-6.143738977
1.134,-6.135682819
1.135,-6.127640845
1.136,-6.135444151
1.137,-6.128295255
1.138,-6.137840211
1.139,-6.154385965
1.14,-6.170902717
1.141,-6.175131349
1.142,-6.165354331
1.143,-6.161713287
1.144,-6.155458515
1.145,-6.171902269
1.146,-6.162162162
1.147,-6.162020906
1.148,-6.15926893
1.149,-6.151304348
1.15,-6.146828844
1.151,-6.128472222
1.152,-6.124891587
1.153,-6.13084922
1.154,-6.128138528
1.155,-6.12283737
1.156,-6.120138289
1.157,-6.121761658
1.158,-6.125970664
1.159,-6.119827586
1.16,-6.119724376
1.161,-6.115318417
1.162,-6.124677558
1.163,-6.099656357
1.164,-6.106437768
1.165,-6.10806175
1.166,-6.124250214
1.167,-6.122431507
1.168,-6.122326775
1.169,-6.128205128
1.17,-6.122971819
1.171,-6.124573379
1.172,-6.121057118
1.173,-6.117546848
1.174,-6.098723404
1.175,-6.095238095
1.176,-6.083262532
1.177,-6.065365025
1.178,-6.060220526
1.179,-6.045762712
1.18,-6.061812024
1.181,-6.049069374
1.182,-6.030431107
1.183,-6.036317568
1.184,-6.046413502
1.185,-6.024451939
1.186,-6.031171019
1.187,-6.023569024
